survey,PS1SN-g,PS1SN-r,PS1SN-i,PS1SN-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
PS1SN,18.6284008,17.704200699999998,17.332700699999997,17.158500699999998,18.626300811767578,17.75469970703125,17.351200103759766,17.18939971923828,54.65997109,-27.69861213
PS1SN,18.1758995,17.6692009,17.5007992,17.4484005,18.187400817871094,17.723100662231445,17.54199981689453,17.481599807739258,54.6892377,-27.75046384
PS1SN,18.8227997,18.1650009,17.9290009,17.8311005,18.818599700927734,18.20599937438965,17.96310043334961,17.863800048828125,54.5635372,-27.64870549
PS1SN,18.2063007,17.402200699999998,17.0874996,16.940599399999996,18.22640037536621,17.44930076599121,17.113300323486328,16.96940040588379,54.60672783,-27.53938114
PS1SN,17.6765995,17.320400199999998,17.2096004,17.1954994,17.686800003051758,17.364500045776367,17.23270034790039,17.218799591064453,54.63936755,-27.49253656
PS1SN,18.930999800000002,18.405599600000002,18.1907997,18.1117992,18.96579933166504,18.453899383544922,18.234500885009766,18.13010025024414,54.67514326,-27.48705124
PS1SN,18.7136002,18.4162998,18.326499899999998,18.3201008,18.729799270629883,18.472700119018555,18.34939956665039,18.346900939941406,54.58396928,-27.53727336
PS1SN,17.6116009,17.2269001,17.095800399999998,17.0652008,17.627899169921875,17.271699905395508,17.12380027770996,17.097400665283203,54.64503839,-27.54425622
PS1SN,17.7837009,17.3934002,17.2723999,17.2490005,17.79599952697754,17.447500228881836,17.311399459838867,17.288299560546875,54.73970233,-27.59409566
PS1SN,18.322399100000002,17.9990997,17.906499899999996,17.8950996,18.356199264526367,18.05780029296875,17.942100524902344,17.941099166870117,54.73069949,-27.68907765
PS1SN,18.853500399999998,17.821199399999998,17.3868999,17.1777992,18.86199951171875,17.87969970703125,17.410200119018555,17.207399368286133,54.72464436,-27.63532784
PS1SN,18.4862995,17.963699300000002,17.7901993,17.7278996,18.511499404907227,18.019100189208984,17.819700241088867,17.763999938964844,54.72254882,-27.63514141
PS1SN,18.8202,18.4556999,18.338300699999998,18.315599399999996,18.833799362182617,18.501699447631836,18.37420082092285,18.332000732421875,54.76275989,-27.54356588
PS1SN,18.989200600000004,18.5585995,18.3875008,18.332399399999996,19.016399383544922,18.614099502563477,18.42259979248047,18.359600067138672,54.70249392,-27.5502155
PS1SN,18.463699300000002,18.2082005,18.140600199999998,18.1331997,18.46109962463379,18.25119972229004,18.156400680541992,18.14590072631836,54.79872943,-27.64554128
PS1SN,18.8008003,18.4477005,18.325199100000003,18.2968006,18.790800094604492,18.497100830078125,18.356199264526367,18.322900772094727,54.777938,-27.73375238
PS1SN,18.2516003,18.0282993,17.974300399999997,17.979499800000003,18.249500274658203,18.056400299072266,17.982999801635742,17.9960994720459,54.8013689,-27.7866795
PS1SN,18.8600998,18.5140991,18.399700199999998,18.370399499999998,18.851299285888672,18.5585994720459,18.418899536132812,18.399200439453125,54.77735147,-27.7909157
PS1SN,18.153200100000003,17.2185993,16.847299600000003,16.6819,18.16629981994629,17.250499725341797,16.871599197387695,16.690799713134766,54.83520389,-27.69949528
PS1SN,18.4307995,17.6443005,17.343000399999998,17.2101002,18.444400787353516,17.691699981689453,17.366600036621094,17.22640037536621,54.79366617,-27.68663851
PS1SN,17.803100600000004,17.5669003,17.5032997,17.507299399999997,17.822999954223633,17.592599868774414,17.52440071105957,17.532699584960938,54.81770474,-27.7154849
PS1SN,18.4071999,18.1075993,18.0167999,18.0081997,18.42300033569336,18.15410041809082,18.048200607299805,18.043899536132812,54.77811315,-27.697537
PS1SN,17.7612,17.4510002,17.355899800000003,17.3528004,17.763099670410156,17.472900390625,17.38319969177246,17.372100830078125,54.88105337,-27.6767052
PS1SN,18.976999300000003,18.0599003,17.6837006,17.5069008,19.020099639892578,18.09709930419922,17.699100494384766,17.51580047607422,54.8656654,-27.73380975
PS1SN,18.107000399999997,17.3714008,17.1030006,16.981100100000003,18.101299285888672,17.393199920654297,17.09600067138672,16.990400314331055,54.88701944,-27.82305426
