survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3S,17.5754,16.9402,16.4857,16.1001,17.1783,16.7176,16.536,16.4727,216.188,26.6886,0.0677538,0.0519736,0.039385,0.0287606,0.0605805,0.0428838,0.0317035,0.025038
CFA3S,17.7934,16.8253,16.1222,15.5019,17.2299,16.4213,16.0141,15.8141,306.067,58.3069,1.45168,1.11357,0.843854,0.616217,1.29799,0.918818,0.679271,0.536458
CFA3S,16.9564,16.0168,15.3767,14.8462,16.4954,15.7081,15.3302,15.1533,306.065,58.3777,1.52465,1.16955,0.886274,0.647195,1.36324,0.965008,0.713418,0.563426
CFA3S,17.1829,16.2319,15.5454,14.9709,16.6335,15.8423,15.4542,15.2708,306.051,58.4341,1.58225,1.21374,0.919757,0.671645,1.41474,1.00146,0.74037,0.584712
CFA3S,17.5427,16.5921,15.9275,15.3977,16.9918,16.2187,15.8563,15.6993,305.985,58.3915,1.47265,1.12966,0.856045,0.62512,1.31674,0.932093,0.689085,0.544209
CFA3S,17.5117,16.4918,15.7534,15.1649,16.9015,16.0449,15.6345,15.4397,305.905,58.2929,1.38629,1.06341,0.805842,0.588459,1.23952,0.877429,0.648673,0.512293
CFA3S,17.7647,16.8326,16.1577,15.6115,17.1964,16.4324,16.0633,15.8881,305.853,58.3117,1.38796,1.0647,0.806817,0.589172,1.24102,0.878492,0.649458,0.512913
CFA3S,17.829,16.9006,16.2318,15.6673,17.2971,16.5272,16.1483,15.9666,305.802,58.4239,1.43085,1.0976,0.831747,0.607376,1.27936,0.905636,0.669526,0.528761
CFA3S,16.2911,15.5204,14.9635,14.5183,15.8154,15.2269,14.9781,14.8778,236.809,-1.0652,0.352113,0.270104,0.204682,0.149467,0.314834,0.222865,0.164761,0.130121
CFA3S,16.134,15.4832,15.0103,14.6093,15.7127,15.2366,15.033,14.9577,236.738,-1.07227,0.337011,0.25852,0.195903,0.143057,0.301331,0.213306,0.157695,0.12454
