survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,D3YR-g_AV,D3YR-r_AV,D3YR-i_AV,D3YR-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
D3YR,17.4202,17.0074,16.8974,16.8712,17.3745,17.0417,16.915,16.8795,43.3788,-0.82581,0.195805,0.130302,0.0953975,0.072669,0.193758,0.137157,0.101399,0.0800803
D3YR,18.7594,18.4347,18.3382,18.3024,18.7537,18.4592,18.3244,18.3397,42.599,0.20602,0.213158,0.14185,0.103852,0.0791092,0.210929,0.149313,0.110385,0.0871773
D3YR,18.8314,18.3815,18.2664,18.2275,18.811,18.4169,18.263,18.2381,41.8657,-0.613383,0.11802,0.0785386,0.0575,0.0438007,0.116786,0.0826705,0.0611173,0.0482677
D3YR,18.145,17.584,17.3768,17.2669,18.1005,17.6292,17.4053,17.3044,43.4876,0.420198,0.280084,0.186387,0.136459,0.103947,0.277156,0.196193,0.145043,0.114549
D3YR,18.345,17.7678,17.5793,17.4915,18.3041,17.8073,17.6059,17.52,42.0113,-1.2661,0.135396,0.0901021,0.065966,0.0502496,0.133981,0.0948424,0.0701159,0.0553744
D3YR,18.1704,17.77,17.6654,17.6318,18.1346,17.7876,17.6673,17.6552,41.4983,-1.92686,0.136938,0.091128,0.066717,0.0508217,0.135506,0.0959222,0.0709141,0.0560048
D3YR,18.6964,18.4086,18.3427,18.3377,18.6716,18.4312,18.3358,18.3448,40.3253,0.957309,0.124653,0.0829527,0.0607317,0.0462624,0.12335,0.0873169,0.0645523,0.0509805
D3YR,18.2773,17.674,17.4666,17.3648,18.2212,17.7095,17.4985,17.3992,40.6035,-1.95609,0.0933611,0.062129,0.0454862,0.0346491,0.0923852,0.0653976,0.0483477,0.0381828
D3YR,17.4571,17.1825,17.1146,17.1093,17.4171,17.1915,17.1092,17.1173,40.6444,-1.94996,0.0958938,0.0638144,0.0467201,0.0355891,0.0948914,0.0671717,0.0496592,0.0392187
D3YR,16.9611,16.5157,16.3958,16.3622,16.9248,16.5381,16.4035,16.3831,40.6441,-1.96948,0.0970955,0.0646142,0.0473056,0.0360351,0.0960805,0.0680135,0.0502816,0.0397101
D3YR,18.0996,17.4069,17.1935,17.0844,18.0673,17.4551,17.2235,17.1256,40.5574,-1.95372,0.0912058,0.0606947,0.0444361,0.0338492,0.0902523,0.0638878,0.0472315,0.0373013
D3YR,17.561,17.1828,17.0951,17.0756,17.5101,17.2112,17.0907,17.0872,40.5972,-0.43319,0.085253,0.0567333,0.0415359,0.0316399,0.0843618,0.0597181,0.0441488,0.0348668
D3YR,17.7329,17.2349,17.1073,17.0643,17.6861,17.2727,17.118,17.0758,40.7107,-0.434758,0.0863321,0.0574514,0.0420616,0.0320404,0.0854296,0.0604739,0.0447076,0.0353081
D3YR,18.4307,17.8475,17.6722,17.5722,18.407,17.8942,17.6706,17.6121,40.7667,0.16787,0.0998474,0.0664454,0.0486463,0.0370564,0.0988036,0.0699411,0.0517066,0.0408356
D3YR,17.29,17.0269,16.9687,16.9512,17.2655,17.043,16.9617,16.958,40.7958,-1.68482,0.0965294,0.0642374,0.0470298,0.035825,0.0955203,0.067617,0.0499884,0.0394786
D3YR,18.3632,17.6913,17.4749,17.357,18.3085,17.7462,17.5023,17.3844,43.204,0.120027,0.222025,0.147751,0.108172,0.0824001,0.219704,0.155524,0.114977,0.0908037
D3YR,18.2425,17.7127,17.5677,17.5036,18.2235,17.7547,17.5835,17.543,43.2455,0.13837,0.224574,0.149447,0.109414,0.0833463,0.222227,0.15731,0.116297,0.0918464
D3YR,18.1294,17.5484,17.3826,17.3076,18.0584,17.6267,17.4083,17.3409,40.4801,-0.632378,0.0978949,0.0651461,0.0476951,0.0363317,0.0968716,0.0685735,0.0506955,0.0400371
D3YR,18.1728,17.5857,17.4256,17.3551,18.1268,17.6279,17.4314,17.3688,40.895,-1.80903,0.0889782,0.0592123,0.0433508,0.0330225,0.0880481,0.0623275,0.046078,0.0363903
D3YR,18.5033,17.9332,17.7359,17.6363,18.474,17.9743,17.757,17.6697,43.6287,0.416823,0.262418,0.174631,0.127852,0.0973911,0.259675,0.183819,0.135895,0.107324
D3YR,17.2347,16.7553,16.6298,16.573,17.2184,16.7938,16.6402,16.5933,40.6942,-1.21394,0.103052,0.0685782,0.0502078,0.0382458,0.101975,0.0721862,0.0533663,0.0421464
D3YR,17.0262,16.3851,16.2054,16.1138,16.975,16.4351,16.2267,16.149,43.4071,0.57777,0.270711,0.18015,0.131892,0.100469,0.267881,0.189628,0.14019,0.110715
D3YR,17.094,16.6105,16.4796,16.4326,17.0613,16.6518,16.4871,16.4498,40.8466,-0.421619,0.0960718,0.0639329,0.0468069,0.0356551,0.0950675,0.0672964,0.0497514,0.0392915
D3YR,18.7905,18.236,18.0526,17.9599,18.7383,18.2832,18.0684,17.9971,40.9368,-0.48117,0.108506,0.0722072,0.0528646,0.0402697,0.107371,0.076006,0.0561903,0.0443766
D3YR,17.6934,17.1669,16.9901,16.8977,17.6744,17.2122,17.012,16.9332,43.0919,-0.880029,0.205027,0.13644,0.0998908,0.0760918,0.202884,0.143618,0.106175,0.0838521
