survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
DES,16.9813,16.3931,16.2093,16.1097,16.9407,16.4313,16.214,16.1485,42.4557,0.478433,0.17149,0.114122,0.0835512,0.0636451,0.169698,0.120126,0.0888073,0.0701361
DES,17.3448,16.8184,16.6639,16.5864,17.3235,16.8518,16.6647,16.6155,42.5319,0.386239,0.203033,0.135112,0.0989192,0.0753517,0.200911,0.142221,0.105142,0.0830365
DES,18.1429,17.4837,17.2348,17.0955,18.0559,17.5331,17.2579,17.1405,41.8811,0.503287,0.125025,0.0832007,0.0609133,0.0464007,0.123718,0.0875779,0.0647453,0.0511329
DES,18.1467,17.555,17.3794,17.2914,18.0951,17.5898,17.39,17.323,41.9418,0.619288,0.12558,0.08357,0.0611837,0.0466067,0.124268,0.0879666,0.0650327,0.0513599
DES,17.0186,16.2723,16.0559,15.9381,16.9776,16.3209,16.0691,15.9784,42.6976,0.839695,0.171406,0.114066,0.0835102,0.0636139,0.169614,0.120067,0.0887637,0.0701016
DES,18.7563,18.1539,17.9378,17.8179,18.6924,18.1798,17.9572,17.8448,41.8341,0.628251,0.118844,0.0790872,0.0579017,0.0441066,0.117602,0.083248,0.0615442,0.0486049
DES,17.2071,16.8019,16.6846,16.6387,17.1863,16.8212,16.6723,16.6256,41.863,0.612919,0.12132,0.0807346,0.0591078,0.0450254,0.120051,0.0849821,0.0628262,0.0496173
DES,17.9067,17.5113,17.3919,17.3408,17.8737,17.5326,17.397,17.384,42.7951,0.600426,0.209567,0.13946,0.102102,0.0777765,0.207376,0.146797,0.108526,0.0857086
DES,18.93,18.3624,18.1871,18.098,18.8917,18.4086,18.1863,18.1126,41.9452,0.360257,0.136208,0.0906425,0.0663616,0.050551,0.134784,0.0954113,0.0705364,0.0557065
DES,16.9395,16.5714,16.4797,16.4499,16.9228,16.5922,16.4823,16.4621,41.9788,0.434237,0.135587,0.0902291,0.066059,0.0503204,0.13417,0.0949761,0.0702147,0.0554524
DES,17.8034,17.3361,17.1972,17.1352,17.7958,17.3633,17.2102,17.1683,41.9124,0.406404,0.13217,0.0879549,0.0643939,0.0490521,0.130788,0.0925822,0.0684449,0.0540547
DES,17.2943,16.5036,16.2741,16.143,17.2416,16.5603,16.3016,16.1851,42.2588,0.219703,0.153622,0.102231,0.0748458,0.0570138,0.152016,0.107609,0.0795543,0.0628284
DES,18.2614,17.6658,17.4809,17.3882,18.2337,17.6988,17.4988,17.4259,42.3433,0.193576,0.16408,0.109191,0.0799411,0.0608951,0.162365,0.114935,0.0849701,0.0671056
DES,18.6791,17.8223,17.5518,17.402,18.633,17.8829,17.5759,17.4283,42.3944,0.297735,0.169584,0.112853,0.0826226,0.0629378,0.167812,0.11879,0.0878203,0.0693566
DES,17.881,17.565,17.4741,17.4474,17.8458,17.5916,17.4768,17.4552,41.8656,0.618318,0.121712,0.0809958,0.059299,0.045171,0.12044,0.085257,0.0630295,0.0497779
DES,17.4925,17.0761,16.9702,16.9334,17.4471,17.0962,16.9799,16.9427,41.9471,0.57682,0.125729,0.0836691,0.0612562,0.046662,0.124415,0.088071,0.0651098,0.0514208
DES,18.6986,18.177,18.012,17.9323,18.6615,18.1933,18.011,17.9389,42.0187,0.371674,0.142318,0.0947083,0.0693383,0.0528185,0.14083,0.099691,0.0737003,0.0582052
DES,18.1754,17.4034,17.1546,17.0229,18.0484,17.392,17.1049,17.0083,42.4372,0.915034,0.184607,0.12285,0.0899417,0.0685131,0.182677,0.129313,0.0955998,0.0755005
DES,18.4593,17.9225,17.7504,17.6653,18.412,17.9582,17.7615,17.6959,42.4895,0.866693,0.177728,0.118273,0.0865904,0.0659603,0.17587,0.124495,0.0920378,0.0726873
DES,16.895,16.5884,16.5052,16.4781,16.8742,16.5995,16.5014,16.4945,42.3651,0.385147,0.165496,0.110132,0.0806306,0.0614204,0.163766,0.115926,0.085703,0.0676844
DES,16.6144,16.0602,15.926,15.861,16.5923,16.0904,15.9303,15.8827,42.3715,0.888344,0.180033,0.119807,0.0877133,0.0668156,0.178151,0.12611,0.0932313,0.0736299
DES,16.0286,15.6098,15.4895,15.4428,15.9906,15.624,15.4884,15.4675,42.3193,0.184111,0.162328,0.108024,0.0790872,0.0602447,0.160631,0.113707,0.0840625,0.0663888
DES,16.3537,15.8718,15.7347,15.674,16.3168,15.9017,15.7424,15.6909,42.4315,0.223865,0.17806,0.118494,0.0867521,0.0660835,0.176199,0.124728,0.0922096,0.0728231
DES,15.8739,15.3883,15.2487,15.1852,15.8355,15.4226,15.2638,15.2071,42.283,0.209067,0.157638,0.104903,0.0768023,0.0585042,0.15599,0.110422,0.0816338,0.0644708
DES,16.0907,15.6066,15.4468,15.3743,16.0532,15.6329,15.4547,15.4003,42.4825,0.312047,0.199291,0.132622,0.0970959,0.0739628,0.197208,0.139599,0.103204,0.081506
DES,15.9852,15.2802,15.048,14.9176,15.9497,15.331,15.0655,14.9606,42.8928,0.967003,0.211374,0.140663,0.102983,0.0784471,0.209164,0.148063,0.109461,0.0864476
DES,18.2363,17.5843,17.3768,17.2686,18.187,17.6384,17.393,17.31,42.888,0.906752,0.215707,0.143546,0.105094,0.0800552,0.213452,0.151098,0.111705,0.0882198
DES,18.693,17.9244,17.6733,17.5309,18.6514,17.9847,17.6988,17.5722,42.3245,0.375888,0.163528,0.108823,0.0796721,0.0606902,0.161819,0.114548,0.0846842,0.0668798
DES,17.5933,17.1781,17.0628,17.0185,17.554,17.2016,17.0687,17.0388,42.3871,0.345677,0.166973,0.111116,0.0813505,0.0619687,0.165228,0.116961,0.0864681,0.0682887
DES,18.6568,18.0322,17.8231,17.7121,18.6283,18.0762,17.8406,17.7561,42.3041,0.34712,0.160405,0.106745,0.0781505,0.0595312,0.158728,0.112361,0.0830669,0.0656025
DES,17.264,16.4897,16.2538,16.1232,17.2238,16.537,16.2785,16.1701,42.777,0.727524,0.19231,0.127976,0.0936945,0.0713718,0.190299,0.134709,0.0995888,0.0786508
DES,17.1741,16.7422,16.599,16.5355,17.1585,16.7639,16.6031,16.554,42.275,0.425813,0.169483,0.112786,0.0825734,0.0629003,0.167711,0.11872,0.087768,0.0693152
DES,17.3972,16.9874,16.8776,16.8394,17.3728,17.009,16.8765,16.8562,41.8446,0.983882,0.128627,0.0855971,0.0626678,0.0477372,0.127282,0.0901004,0.0666102,0.0526057
DES,18.0392,17.5058,17.3519,17.2767,18.0004,17.538,17.3636,17.3057,42.2173,0.526605,0.172824,0.115009,0.0842013,0.0641403,0.171018,0.12106,0.0894983,0.0706818
DES,18.1583,17.6454,17.4918,17.4232,18.1336,17.6742,17.5016,17.4391,42.4096,0.245394,0.173515,0.115469,0.0845379,0.0643967,0.171701,0.121544,0.0898561,0.0709643
DES,16.1513,15.6095,15.45,15.3731,16.1147,15.6358,15.4555,15.4005,42.4185,0.531918,0.173746,0.115623,0.0846503,0.0644824,0.17193,0.121706,0.0899756,0.0710587
DES,16.1074,15.5367,15.3782,15.3015,16.0774,15.5665,15.3857,15.3219,42.6296,0.616373,0.178582,0.118841,0.0870065,0.0662772,0.176715,0.125093,0.09248,0.0730366
DES,15.7048,15.2666,15.1332,15.0749,15.6894,15.2883,15.1267,15.0977,43.0607,0.955376,0.218542,0.145433,0.106475,0.0811075,0.216257,0.153084,0.113173,0.0893793
DES,16.4248,15.7011,15.4935,15.3831,16.3775,15.7433,15.511,15.4255,42.503,0.610417,0.162848,0.108371,0.0793408,0.0604378,0.161146,0.114072,0.084332,0.0666017
DES,18.3995,17.5958,17.3407,17.1972,18.3154,17.6605,17.3737,17.2574,42.1932,0.0171814,0.144005,0.095831,0.0701603,0.0534446,0.1425,0.100873,0.074574,0.0588952
DES,15.7682,15.0832,14.8897,14.7791,15.7373,15.1242,14.8995,14.8174,43.0426,0.838963,0.229065,0.152436,0.111602,0.085013,0.226671,0.160456,0.118623,0.0936831
DES,15.5783,15.0965,14.9593,14.8938,15.56,15.1239,14.9632,14.9209,43.0314,0.870664,0.221392,0.14733,0.107864,0.0821652,0.219078,0.155081,0.114649,0.090545
DES,16.3572,15.789,15.6232,15.5423,16.3299,15.8196,15.6342,15.5773,43.0236,0.888395,0.216925,0.144357,0.105687,0.0805074,0.214657,0.151952,0.112336,0.088718
DES,17.5518,16.9359,16.7443,16.6471,17.5227,16.9805,16.7713,16.6811,42.1778,0.0108435,0.141507,0.0941685,0.0689431,0.0525174,0.140028,0.0991228,0.0732803,0.0578735
DES,16.9619,16.3921,16.22,16.1336,16.9217,16.4331,16.2306,16.1632,42.6194,0.56894,0.177106,0.117859,0.0862872,0.0657293,0.175254,0.124059,0.0917155,0.0724328
DES,17.4638,16.7001,16.4563,16.3207,17.4349,16.7571,16.4813,16.3662,42.8236,0.857565,0.203098,0.135155,0.0989507,0.0753757,0.200975,0.142266,0.105176,0.083063
DES,16.7402,16.1436,15.929,15.8117,16.7046,16.183,15.9497,15.8597,42.6809,0.901537,0.174889,0.116383,0.0852069,0.0649064,0.17306,0.122506,0.0905672,0.071526
DES,16.7112,16.2014,16.0342,15.9491,16.6853,16.2465,16.0394,15.972,42.9006,0.953876,0.212267,0.141257,0.103418,0.0787787,0.210048,0.148689,0.109924,0.0868131
DES,17.1768,16.7365,16.5905,16.5294,17.1409,16.7569,16.5923,16.5517,42.8607,0.968075,0.213881,0.142332,0.104204,0.0793778,0.211645,0.14982,0.11076,0.0874732
DES,18.6423,18.1857,18.0475,17.9881,18.6618,18.2178,18.0479,18.0701,42.86,0.889317,0.213745,0.142241,0.104138,0.0793272,0.211511,0.149724,0.110689,0.0874175
DES,16.5541,15.9388,15.7029,15.5767,16.5133,15.9849,15.727,15.6169,42.7,0.925893,0.180924,0.120399,0.0881472,0.0671462,0.179032,0.126733,0.0936925,0.0739941
